2024,Celtics
2024,Pacers
2024,Mavericks
2024,Timberwolves
2023,Nuggets
2023,Lakers
2023,Heat
2023,Celtics
2022,Warriors
2022,Mavericks
2022,Celtics
2022,Heat
2021,Suns
2021,Clippers
2021,Bucks
2021,Hawks
2020,Heat
2020,Celtics
2020,Lakers
2020,Nuggets
2019,Raptors
2019,Bucks
2019,Warriors
2019,Blazers
2018,Cavaliers
2018,Celtics
2018,Warriors
2018,Rockets
2017,Warriors
2017,Spurs
2017,Cavaliers
2017,Celtics
2016,Cavaliers
2016,Raptors
2016,Warriors
2016,Thunder
2015,Cavaliers
2015,Hawks
2015,Warriors
2015,Rockets
